"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 10:47:43 IST 2023","Tue Nov 07 10:48:00 IST 2023","17160","","My Login application","","","","should login with valid credentials",""
"passed","Tue Nov 07 10:47:46 IST 2023","Tue Nov 07 10:48:16 IST 2023","30120","","Handle Window","","","","Handle Window TC",""
"passed","Tue Nov 07 10:47:42 IST 2023","Tue Nov 07 10:48:03 IST 2023","20394","","First Test Suite","","","","First TC",""
"passed","Tue Nov 07 10:47:44 IST 2023","Tue Nov 07 10:47:59 IST 2023","15458","","Login Page Suites ","","","","Login Test",""
"passed","Tue Nov 07 10:47:44 IST 2023","Tue Nov 07 10:47:53 IST 2023","9154","","Handle Alert","","","","Alert TC",""
"passed","Tue Nov 07 10:48:03 IST 2023","Tue Nov 07 10:48:07 IST 2023","3916","","First Test Suite","","","","Multiple Elements",""
"passed","Tue Nov 07 10:47:44 IST 2023","Tue Nov 07 10:48:07 IST 2023","22770","","Dropdown handling","","","","Dropdown-SelectByVisibleText",""
"unknown","Mon Nov 06 19:05:57 IST 2023","Mon Nov 06 19:06:03 IST 2023","5894","","My Login application","","","","should login with valid credentials",""
"passed","Mon Nov 06 19:06:01 IST 2023","Mon Nov 06 19:06:09 IST 2023","7868","","My Login application","","","","should login with valid credentials",""
